Date,Model,Category,Manufacturer,Model,Year,RAID (hours),Registration number,Serial number,Seller,Location,Description,Price
2020-05-28,SR22T G6 GTS Platinum,Single engine,Cirrus,SR22T G6 GTS Platinum,2017,355,DELUR,,,"Germany, Dusseldorf, EDDL","Digital Engine & Fuel Monitoring &#8232;
Cirrus Perspective Plus by Garmin &#8232;
10 Screens &#8232;
GMA 350 Bluetooth &#8232;
Audio 3 D &#8232;
Keyboard Controller &#8232;
Dual WAAS GPS/Com/Nav Radios &#8232;
Dual ADAHRS &#8232;
Enhanced Garmin GFC700 Autopilot &#8232;
Fully Coupled Approach/Vertical Guidance &#8232;
TOGA coupled missed approach &#8232;
Electronic Stability &Protection &#8232;
Handflown Stall Protection ESP &#8232;
Hypoxia Check & Automated Descend &#8232;
Blue Level Button &#8232;
Autopilot Stall & Overspeed Protection &#8232;
Flight Director & Flight Path Marker &#8232;
ADS- B OUT Transponder &#8232;
406 MHz ELT triggered by CAPS &#8232;
Garmin Flight Charts and Safe Taxi &#8232;",
2020-05-28,Amigo,Single engine,I.C.P. Aviation,Amigo,2000,800,I6954,Xd46652,,"Italy, Torlino, Torlino","Veivolo in perfetto stato revisionato completamente, motore nuovo radio 8.33, HSI nuovo possibilit di qualsiasi prova",54211.0
2020-05-28,Sr22 g5 gts,Single engine,Cirrus,Sr22 g5 gts,2016,,N78SZ,4301,Aerista Aircraft,USA,"TCM, IO-550-N, 310 HP Platinum Engine Series 10 hours SMOH (Flight) TBO at 2,200 hours (Flight)",619900.0
2020-05-28,M20r ovation,Single engine,Mooney,M20r ovation,2015,,N521FH,29-0521,Aerista Aircraft,USA,"TCM IO-550-G(10), 310 HP 730 Hours TTSN",579900.0
2020-05-28,Saratoga sp turbo,Single engine,Piper,Saratoga sp turbo,1980,3,,,,,"White Featuring Burgundy and Grey Accents
The Aircraft was Repainted in 2011 and is Starting to Show its Age
The Exterior of the Aircraft has Recently been Cleaned, Buffed, and Waxed
The Aircraft has not been Kept in a Hangar",154500.0
2020-05-28,CT4E,Single engine,Pacific aerospace,CT4E,1998,6,,,,,"Bendix-King KX-165 NAV-COM 
Bendix-King KMA-24 Audio System

Bendix-King KY-196A VHF COM 
Bendix- KR-87 ADF 
Bendix-King KT-76C Transponder 
Bendix-King KI-525A HSI 




Bendix-King KN-63 DME 
Artex ME-406 ELT 
MD-41 GPS
Annunciator 
Bendix-King KLN-89B GPS 
Bendix-King KI-229 RMI

P.S. Engineering PM1000 Intercom",124000.0
2020-05-28,M20F Executive Turbo,Single engine,Mooney,M20F Executive Turbo,1967,5,,,,,"PS Engineering PMA6000B Audio Panel with 3 LMB
Garmin GTN 650 Touchscreen Color IFR Moving Map GPS/COM with WAAS (coupled)
Garmin GI 106B Glide slope/VOR/Localizer Indicator
Garmin GNC 300 XL Moving map GPS/COM
Garmin GI 106B Glide Slope/VOR/Localizer Indicator
Garmin GTX 345 ADSB in and out Transponder
S-Tec 50 Autopilot with Altitude Hold


Hamilton Vertical Card Compass
Digital Tachometer
Avionics Master Switch
CO2 Detector Alert
Electronics International Four Cylinder EGT Gauge
Dual Yoke Mounted Push-to-talk Buttons
12 Volt Power Outlet in Panel
Outside Air Temp Gauge",79500.0
2020-05-28,182Q Skylane II,Single engine,Cessna,182Q Skylane II,1979,3,,,,,"28 Volt System
King KMA 24 Audio Panel with 3 LMB
Garmin GNX Color IFR Moving Map GPS/COM with ADSB In and Out Transponder
Garmin GI 106B Glide Slope/VOR/Localizer CDI for GPS
King KX 155 760 Channel Digital Flip/flop NAV/COM
King KI 209 Glide Slope/VOR/Localizer
King KX 155 760 Channel Digital Flip/flop NAV/COM
King KI 209 VOR/Localizer
Sperry/Cessna 300A Autopilot
Alternate Static Source


EDM 700 Three Inch Six Cylinder Engine Analyser with Fuel Flow
Power Outlet in Trim Pedestal
Electronics International Carb Temp and OAT Gauge
Dual Drilled Yoke Mounted Push-to-talk Buttons
Map Lights in Yoke
True Airspeed Indicator
Telex PC4 Four Place Intercom
Avionics Master Switch
Outside Air Temp on Wingroot Air Vent",105500.0
2020-05-28,Sr22 t g5 gts,Single engine,Cirrus,Sr22 t g5 gts,2016,577,,,,,"Cirrus Perspective Avionics Suite 
Synthetic Vision Technology
Dual WAAS GPS Receivers
Dual AHARS Computers
Dual Air Data Computers (ADC)
Garmin 12â€ LCD Displays
Midcontinent Digital Backup Instrumentation
Garmin GMA-350c All-Digital Bluetooth â€œ3Dâ€ Audio Panel 
Garmin Remote ADS-B Transponder
Garmin FlightStream 210 Wireless Connectivity
Garmin GFC-700 Digital Autopilot


Garmin Yaw Damper
Garmin GTS800 Active Traffic System (TAS)
EngineView Engine and Fuel Monitoring
Enhanced Ground Proximity Warning System (TAWS-B)
Garmin Electronic Stability Protection (ESP)
XM WX Datalink and XM Audio
Jeppesen Chartview Electronic Approach Charts
Garmin SafeTaxi
Enhanced Vision System (EVS, Camera)
Flight Director
Digital Fuel Gauges",689000.0
2020-05-27,u206-super-skywagon,Single engine,Cessna,u206-super-skywagon,1973,0,N60134,,Tempist Evenson,"North America Canada, United States - TX","AIRFRAME
 3464 Total Time Since New 

ENGINES
 1464 Since Factory Reman Engine (1700 TBO)",
2020-05-27,8-kcab super decathlon,Single engine,American champion,8-kcab super decathlon,2014,227,N50XT,,Tempist Evenson,"North America Canada, United States - TX","AIRFRAME
 227 Total Time Since New 
 ENGINES
 210 HP Lycoming IO-390 Engine",
2020-05-27,182s skylane,Single engine,Cessna,182s skylane,1998,2207,N2672X,,Tempist Evenson,"North America Canada, United States - TX","AIRFRAME
 2207 Total Time Since New 
 ENGINES
 1002 Since Lycoming Factory Brand New IO540-D5B5 (260 HP)
	Alamo Aero Upgrade
1002 Since Prop Overhaul",
2020-05-27,Husky,Single engine,Alpi,Husky,2012,365,N157MA,,Tempist Evenson,"North America Canada, United States - TX","AIRFRAME
 365 Total Time Since New",
2020-05-27,M7-260,Single engine,Maule,M7-260,1999,551,N4003A,,Tempist Evenson,"North America Canada, United States - TX","AIRFRAME
 551 Total Time Since New 
 ENGINES
 Lycoming IO-540-V4AF 260HP Engine

WEIGHT
 796 lb. Useful Load",
2020-05-27,182t skylane,Single engine,Cessna,182t skylane,2004,202,N146F,,Tempist Evenson,"North America Canada, United States - TX","AIRFRAME
 202 Total Time Since New",
2020-05-27,182t skylane,Single engine,Cessna,182t skylane,2004,1046,N524TM,,Tempist Evenson,"North America Canada, United States - TX","AIRFRAME
 1046 Total Time Since New",
2020-05-27,SR22 G3 air con,Single engine,Cirrus,SR22 G3 air con,2007,700,N388AP,,Aeromeccanica S.A,"Italy, Salerno Ponte Cagnano","Dual Garmin GNS 430 (NON WAAS) ANV/COM/GPS, 760 Channels, 8.33 kHz
Avidyne EX5000 PFD and MFD
Honeywell KGP560 TAWS Ground Proximity Waring System
Skywatch TRC497 TAS
Goodrich WX500 Stormscope
Garmin GTX330 Mode S Transponder
Artex 406 kHz ELT
Garmin GMA340 Audio Panel/MB
S-Tec 55X Autopilot",
2020-05-27,SR22 G2 air con,Single engine,Cirrus,SR22 G2 air con,2006,1025,N888ZL,,Aeromeccanica S.A,"Switzerland, Locarno, LSZL","Avidyne EX5000 Primary and Multifunction Displays
Garmin GMA340 Audio Panel / Marker Beacon
2 Garmin GTN650 NAV/COM/GPS, Touch Screen, WAAS
King KN63 DME with KI572 Display
Garmin GTX330 Mode S Transponder
L-3 Avionics WX500 Stormscope
Honeywell KGP 560 TAWS Terrain Awarness/Warning System
L-3 Avionics SkyWatch Traffic Traffic Advisory System
Avidyne E-Max Engine Instrumentation
Avidyne C-Max Electronic Approach Charts
Artex ME406, 406 MHz ELT",278962.0
2020-05-27,G3 TURBO GTS,Single engine,Cirrus,G3 TURBO GTS,2007,1170,N771SR,2771,,"United Kingdom, Turweston, EGBT","Avidyne Entegra Primary Color Flight Display (PFD)
Avidyne EX 5000 Multifunction Display
Garmin GMA 340 Audio Panel / Intercom
Garmin GNS 430W WAAS Color GPS/NAV/COM
Garmin GNS 430W WAAS Color GPS/NAV/COM
Garmin GTX 330 Transponder
Avidyne DFC90 Autopilot
L-3 Skywatch Traffic
L-3 WX-500 Stormscope
Enhanced Terrain Awareness (E-TAWS)
XM Datalink Weather and Audio
CMAX Electronic Approach Charts",367511.0
2020-05-27,M20M TLS / Bravo,Single engine,Mooney,M20M TLS / Bravo,1990,1,,,,,"KMA24 Audio Panel
GNA 530W WAAS GPS/NAV/COM/Map
GTX 335 Transponder w/ ADS-B out
KX-155 NAV/COM
EHI 40 EFIS System
KFC-150 Autopilot with Flight Director


KAS-297B Altitude Preselect/VS 
WX-1000 Stormscope
TRA-3000 Radar Altimeter System
Argus 5000 Moving Map Display
NAT Intercom System (4)",160000.0
2020-05-27,"F24 R-46 200 HP Ranger ""6""",Single engine,Fairchild hiller,"F24 R-46 200 HP Ranger ""6""",1947,895,,,,,"ICOM IC-200 COMM
Narco AT50A Transponder
Flightcom 403 Intercom",55000.0
2020-05-27,Sr22 g5 gts,Single engine,Cirrus,Sr22 g5 gts,2014,718,,,,,"Cirrus Perspective Avionics Suite with Keypad Controller 
 Garmin
Global Connect 
 Synthetic Vision Technology 
 Dual WAAS GPS
receivers 
 Dual AHARS Computers 
 Garmin 12"" LCD Displays

 Garmin GMA-350 All-Digital Audio Panel 
 Garmin Remote ADS-B
Transponder 
 Garmin GFC-700 Digital Autopilot 
 Garmin Yaw Damper

 Garmin GTS800 Active Traffic System (TAS) 




 Distance Measuring
Equipment (DME) 
 EngineView Engine and Fuel Monitoring 
 Enhanced
Ground Proximity Warning System (TAWS-B) 
 Garmin Electronic Stability
Protection (ESP) 
 Jeppesen Chartview Electronic Approach Charts 

Garmin SafeTaxi 
 Enhanced Vision System (EVS, Camera) 
 Flight
Director 
 Digital Fuel Gauges 
 Stormscope",
2020-05-27,350,Single engine,Cessna / columbia / lancair,350,2004,1,,,,,"Avidyne Entegra Glass Cockpit
Avidyne Flightmax Primary Flight Display (PFD) w/ Flight Director
Avidyne Flightmax EX5000C Multi-Function Display (MFD)
Garmin GMA340 Audio Panel w/ Intercom & Marker Beacons
Dual GNS430W WAAS GPS/NAV/COMM


Garmin GTX330ES Transponder w/ ADS-B Out
S-Tec 55X Autopilot w/ Autotrim, GPSS & Altitude Pre-Select
TWX 670 Color Weather Detection
Datalink Weather, Terrain, E-Max Engine & Fuel Monitor
CMax Electronic Charts, Digital Checklists on MFD",235000.0
2020-05-27,350,Single engine,Cessna / columbia / lancair,350,2003,1,,,,,"Avidyne Entegra Glass Cockpit
Avidyne Flightmax Primary Flight Display (PFD) w/ Flight Director
Avidyne Flightmax EX5000C Multi-Function Display (MFD)
Garmin GMA340 Audio Panel w/ Intercom & Marker Beacons
Dual GNS430W WAAS GPS/NAV/COMM
Garmin GTX330ES Transponder w/ ADS-B Out
S-Tec 55X Autopilot w/ Autotrim, GPSS, Altitude Pre-Select & Yaw Damper
XM Datalink Weather, Terrain, E-Max Engine & Fuel Monitor
CMax Electronic Charts, Digital Checklists on MFD",225000.0
2020-05-25,Sr20-g3,Single engine,Cirrus,Sr20-g3,2008,800,GDOLI,,Michael Godden,"Europe, England, United Kingdom","AIRFRAME
 TTAF: 800hrs

ENGINES
 TTE: 800hrs
Date of last engine overhaul: 2008
TTP: 290hrs
Date of last propeller overhaul: 09/2014",
2020-05-25,TB 20 NG,Single engine,Eads/socata,TB 20 NG,2000,206,DEODA,2033,,"Germany, Egelsbach, EDFE","Engine: Lycoming IO-540-C4D5D, 250 HP or 184 KW,
Shockloading in 2019

Prop: 2 blade Hartzell HC-C2YK-1 BF (new in 2019)",208939.0
2020-05-24,Focke Wulf 190 Replica,Single engine,Focke wulf,Focke Wulf 190 Replica,2008,13,1656,1656,,"Germany, Schweinfurt-Sud, EDFS",M 14 P 9 Zylinder Sternmotor 360 PS Einbau Juli 2018,89223.0
2020-05-24,Sr22 g3 gts,Single engine,Cirrus,Sr22 g3 gts,2007,,N683SR,2766,Aerista Aircraft,USA,"TCM, IO-550-N, 310 HP Platinum Series Engine Tornado Alley Turbonormalizing System 2,380 TTSN (Flight)",259900.0
2020-05-24,Sr20 g2,Single engine,Cirrus,Sr20 g2,2004,,N122DZ,1465,Aerista Aircraft,USA,"Continental IO-360-ES, 200 hp 1,263 hours SMOH (Hobbs)",144900.0
2020-05-23,A36 bonanza,Single engine,Beechcraft,A36 bonanza,1986,,N2798P,E-2337,Carolina Aircraft Inc,USA,350 Since Major Overhaul,285000.0
2020-05-23,Sr22,Single engine,Cirrus,Sr22,2003,,N845X0,505,Steel Aviation,USA,Continental / IO-550-N,214900.0
2020-05-23,400,Single engine,Cessna,400,2008,,N932AC,411021,NexGA Aircraft Inc,USA,"TCM TSIO-550-C, 310 HP Twin Turbo Charged; 1160 Since New; 590 Since Top Overhaul w/ New Cylinders",325000.0
2020-05-23,V35b bonanza,Single engine,Beechcraft,V35b bonanza,1975,,N33VH,D-9803,Carolina Aircraft Inc,USA,ENGINE IO 520BB: 364 SMOH by Triad Aviation w New Cylinders - June 2017,145000.0
2020-05-23,Arrow PA28R-180,Single engine,Piper,Arrow PA28R-180,1968,7,,,,,"Garmin GNS430W NAV/COM/GPS
Narco MK12D TSO NAV/COM
Piper Autocontrol IIIB Autopilot
Narco DME


Narco CP 136 TSO Audio Panel w/ 3LMB
Lynx G-3 NGT-9000 Mode S Transponder
Transponder
Dual Glidescopes",64900.0
2020-05-23,Archer II PA28-181,Single engine,Piper,Archer II PA28-181,1979,9,,,,,"King KX170 NAV/COM
Icom
Autopilot [Innop]


Intercom w/ 3 LMB
NGT9000 ADS-B in/out Transponder",64950.0
2020-05-23,Diamond da40,Single engine,Diamond,Diamond da40,2019,,,,LifeStyle Aviation,,,
2020-05-22,ps28,Single engine,Czech sport,ps28,2017,765,FHZCE,,,"France, moisselles","a vendre ps28 cruiser
parfait tat de prsentation et de fonctionnement
quip EFIS DYNON SKYVIEW
visible LFFE
essai possible
valeur neuf 170000euros
vendu 85000uros
sort de rvision",95999.0
2020-05-22,Cub J-3 C-065,Single engine,Piper,Cub J-3 C-065,1940,2,,,,,"Original paint scheme, good fabric, faded on fabric portion",29500.0
2020-05-22,Airvan ga8,Single engine,Gippsland aeronautics / gippsaero,Airvan ga8,2017,6,,,,,,
